date,value,reporter,partner
2021-01-01,17783348522,Bahrain,"All Countries, excluding the IO"
2022-01-01,24303078995,Bahrain,"All Countries, excluding the IO"
2021-01-01,405530153,Djibouti,"All Countries, excluding the IO"
2022-01-01,492099657,Djibouti,"All Countries, excluding the IO"
2021-01-01,13319505388,Sri Lanka,"All Countries, excluding the IO"
2022-01-01,16852859897.999998,Sri Lanka,"All Countries, excluding the IO"
2021-01-01,1501931237,Suriname,"All Countries, excluding the IO"
2022-01-01,1832386840,Suriname,"All Countries, excluding the IO"
2021-01-01,189189717,"Korea, Democratic People`s Republic of","All Countries, excluding the IO"
2022-01-01,242892082,"Korea, Democratic People`s Republic of","All Countries, excluding the IO"
2021-01-01,77629062185,Argentina,"All Countries, excluding the IO"
2022-01-01,88057187518,Argentina,"All Countries, excluding the IO"
2021-01-01,4006086648,Ethiopia,"All Countries, excluding the IO"
2022-01-01,4970889725,Ethiopia,"All Countries, excluding the IO"
2021-01-01,29079771,Samoa,"All Countries, excluding the IO"
2022-01-01,41580145,Samoa,"All Countries, excluding the IO"
2021-01-01,548761473283.00006,Belgium,"All Countries, excluding the IO"
2022-01-01,637074082386,Belgium,"All Countries, excluding the IO"
2021-01-01,494945383000,Mexico,"All Countries, excluding the IO"
2022-01-01,577729987000,Mexico,"All Countries, excluding the IO"
2021-01-01,266291811219.99997,Thailand,"All Countries, excluding the IO"
2022-01-01,283862758108,Thailand,"All Countries, excluding the IO"
2021-01-01,265400379238.99997,United Arab Emirates,"All Countries, excluding the IO"
2022-01-01,371834947533,United Arab Emirates,"All Countries, excluding the IO"
2021-01-01,81975805377,Finland,"All Countries, excluding the IO"
2022-01-01,86021280086,Finland,"All Countries, excluding the IO"
2021-01-01,1439627959,Jamaica,"All Countries, excluding the IO"
2022-01-01,1062411822.9999999,Jamaica,"All Countries, excluding the IO"
2021-01-01,73996038,Cabo Verde,"All Countries, excluding the IO"
2022-01-01,58900735,Cabo Verde,"All Countries, excluding the IO"
2021-01-01,190618745215,Ireland,"All Countries, excluding the IO"
2022-01-01,214115196468,Ireland,"All Countries, excluding the IO"
2021-01-01,41389989091,Colombia,"All Countries, excluding the IO"
2022-01-01,57105700449,Colombia,"All Countries, excluding the IO"
2021-01-01,16676584813.000002,Tunisia,"All Countries, excluding the IO"
2022-01-01,18561194823,Tunisia,"All Countries, excluding the IO"
2021-01-01,1534564659,Faroe Islands,"All Countries, excluding the IO"
2022-01-01,2104032626.0000002,Faroe Islands,"All Countries, excluding the IO"
2021-01-01,394463710390,India,"All Countries, excluding the IO"
2022-01-01,453196569073,India,"All Countries, excluding the IO"
2021-01-01,2385244195,Congo,"All Countries, excluding the IO"
2022-01-01,3699635835,Congo,"All Countries, excluding the IO"
2021-01-01,10559535045,Paraguay,"All Countries, excluding the IO"
2022-01-01,9957013974,Paraguay,"All Countries, excluding the IO"
2021-01-01,28681421753,Pakistan,"All Countries, excluding the IO"
2022-01-01,30872794285,Pakistan,"All Countries, excluding the IO"
2021-01-01,609633697,Liberia,"All Countries, excluding the IO"
2022-01-01,724915888,Liberia,"All Countries, excluding the IO"
2021-01-01,1167803027,Cuba,"All Countries, excluding the IO"
2022-01-01,1274432666,Cuba,"All Countries, excluding the IO"
2021-01-01,36335997,Comoros,"All Countries, excluding the IO"
2022-01-01,48822391,Comoros,"All Countries, excluding the IO"
2021-01-01,2707433581,Madagascar,"All Countries, excluding the IO"
2022-01-01,3546314854,Madagascar,"All Countries, excluding the IO"
2021-01-01,9376914778,Turkmenistan,"All Countries, excluding the IO"
2022-01-01,13427020887,Turkmenistan,"All Countries, excluding the IO"
2021-01-01,36530850612,Morocco,"All Countries, excluding the IO"
2022-01-01,41999045131,Morocco,"All Countries, excluding the IO"
2021-01-01,141825413586,Hungary,"All Countries, excluding the IO"
2022-01-01,151668982722,Hungary,"All Countries, excluding the IO"
2021-01-01,53032378,Saint Vincent and the Grenadines,"All Countries, excluding the IO"
2022-01-01,71459850,Saint Vincent and the Grenadines,"All Countries, excluding the IO"
2021-01-01,51572564,Bermuda,"All Countries, excluding the IO"
2022-01-01,66214646,Bermuda,"All Countries, excluding the IO"
2021-01-01,501740476073,Canada,"All Countries, excluding the IO"
2022-01-01,596957712230,Canada,"All Countries, excluding the IO"
2021-01-01,1658948421,Kyrgyzstan,"All Countries, excluding the IO"
2022-01-01,2186695032,Kyrgyzstan,"All Countries, excluding the IO"
2021-01-01,4421384184,Cameroon,"All Countries, excluding the IO"
2022-01-01,6043313217,Cameroon,"All Countries, excluding the IO"
2021-01-01,9241377403,Mongolia,"All Countries, excluding the IO"
2022-01-01,12525983914,Mongolia,"All Countries, excluding the IO"
2021-01-01,1079792672,Togo,"All Countries, excluding the IO"
2022-01-01,2086948426,Togo,"All Countries, excluding the IO"
2021-01-01,264005693,Belize,"All Countries, excluding the IO"
2022-01-01,286430398,Belize,"All Countries, excluding the IO"
2021-01-01,39574133382,New Zealand,"All Countries, excluding the IO"
2022-01-01,46319748469,New Zealand,"All Countries, excluding the IO"
2021-01-01,3972854985,Uganda,"All Countries, excluding the IO"
2022-01-01,3587602694,Uganda,"All Countries, excluding the IO"
2021-01-01,11012507376,Brunei Darussalam,"All Countries, excluding the IO"
2022-01-01,18453030611,Brunei Darussalam,"All Countries, excluding the IO"
2021-01-01,56228586894,Peru,"All Countries, excluding the IO"
2022-01-01,60151838730,Peru,"All Countries, excluding the IO"
2021-01-01,20752001,Sao Tome and Principe,"All Countries, excluding the IO"
2022-01-01,20878375,Sao Tome and Principe,"All Countries, excluding the IO"
2021-01-01,3513117968,Nicaragua,"All Countries, excluding the IO"
2022-01-01,3878440278,Nicaragua,"All Countries, excluding the IO"
2021-01-01,340530213607,Poland,"All Countries, excluding the IO"
2022-01-01,360395232176,Poland,"All Countries, excluding the IO"
2021-01-01,344138637936,Australia,"All Countries, excluding the IO"
2022-01-01,412540265911,Australia,"All Countries, excluding the IO"
2021-01-01,278924567991,Saudi Arabia,"All Countries, excluding the IO"
2022-01-01,407429581914,Saudi Arabia,"All Countries, excluding the IO"
2021-01-01,125927151823,Denmark,"All Countries, excluding the IO"
2022-01-01,131769792870,Denmark,"All Countries, excluding the IO"
2021-01-01,22059281139791,"All Countries, excluding the IO","All Countries, excluding the IO"
2022-01-01,24666675250696,"All Countries, excluding the IO","All Countries, excluding the IO"
2021-01-01,330431996952,Viet Nam,"All Countries, excluding the IO"
2022-01-01,364262418391,Viet Nam,"All Countries, excluding the IO"
2021-01-01,3054320816,Malta,"All Countries, excluding the IO"
2022-01-01,3249570723,Malta,"All Countries, excluding the IO"
2021-01-01,231522458149,Indonesia,"All Countries, excluding the IO"
2022-01-01,290953709514,Indonesia,"All Countries, excluding the IO"
2021-01-01,16726185.999999998,Grenada,"All Countries, excluding the IO"
2022-01-01,18205397,Grenada,"All Countries, excluding the IO"
2021-01-01,59075000000,Israel,"All Countries, excluding the IO"
2022-01-01,72538300000,Israel,"All Countries, excluding the IO"
2021-01-01,1273126839,Haiti,"All Countries, excluding the IO"
2022-01-01,1203300731,Haiti,"All Countries, excluding the IO"
2021-01-01,87492818,Aruba,"All Countries, excluding the IO"
2022-01-01,103841099,Aruba,"All Countries, excluding the IO"
2021-01-01,57336261095,Slovenia,"All Countries, excluding the IO"
2022-01-01,69685265710,Slovenia,"All Countries, excluding the IO"
