"Date","Price","Open","High","Low","Vol.","Change %"
"03/26/2021","2,792.74","2,708.41","2,795.15","2,708.41","","3.11%"
"03/25/2021","2,708.41","2,689.28","2,718.06","2,678.58","","0.71%"
"03/24/2021","2,689.28","2,660.15","2,690.39","2,660.15","","1.10%"
"03/23/2021","2,660.15","2,661.18","2,667.58","2,632.24","","-0.04%"
"03/22/2021","2,661.18","2,694.70","2,696.56","2,640.87","","-1.24%"
"03/18/2021","2,694.70","2,702.13","2,709.19","2,601.81","","-0.28%"
"03/17/2021","2,702.13","2,699.17","2,754.24","2,687.68","","0.11%"
"03/16/2021","2,699.17","2,668.31","2,704.33","2,667.32","","1.16%"
"03/15/2021","2,668.31","2,645.28","2,704.99","2,623.15","","-99.90%"
"03/12/2021","2,645,283.75","2,606,643.75","2,656,041.75","2,599,212.00","","1.48%"
"03/11/2021","2,606,643.75","2,576,883.75","2,655,894.00","2,576,860.50","","1.15%"
"03/10/2021","2,576,883.75","2,615,435.50","2,615,896.00","2,531,814.25","","-1.48%"
"03/09/2021","2,615,668.50","2,511,679.25","2,624,006.75","2,511,655.50","","4.14%"
"03/08/2021","2,511,655.50","2,441,750.00","2,518,902.75","2,439,508.00","","2.86%"
"03/05/2021","2,441,750.00","2,393,488.50","2,441,750.00","2,381,759.00","","2.02%"
"03/04/2021","2,393,488.50","2,343,334.50","2,400,228.50","2,299,634.50","","2.14%"
"03/03/2021","2,343,334.50","2,493,808.75","2,495,074.50","2,300,451.50","","-6.03%"
"03/02/2021","2,493,808.75","2,350,514.50","2,529,399.25","2,350,514.50","","6.10%"
"03/01/2021","2,350,514.50","2,300,775.75","2,372,644.75","2,292,043.75","","2.16%"
"02/26/2021","2,300,775.75","2,150,334.00","2,319,466.75","2,150,334.00","","7.00%"
"02/25/2021","2,150,334.00","2,053,756.75","2,169,464.25","2,041,016.75","","4.70%"
"02/24/2021","2,053,756.75","2,024,784.50","2,060,999.38","2,018,680.13","","1.43%"
"02/23/2021","2,024,784.50","2,014,488.63","2,033,624.88","2,014,488.63","","0.51%"
"02/22/2021","2,014,488.63","1,908,051.88","2,018,358.75","1,898,303.25","","5.58%"
"02/19/2021","1,908,051.88","1,875,271.00","1,908,051.88","1,873,841.50","","1.75%"
"02/18/2021","1,875,271.00","1,859,841.88","1,881,404.13","1,854,348.50","","0.83%"
"02/17/2021","1,859,847.63","1,870,964.63","1,887,698.38","1,855,292.38","","-0.59%"
"02/12/2021","1,870,964.63","1,882,781.50","1,895,619.00","1,870,964.63","","-0.63%"
"02/11/2021","1,882,781.50","1,874,510.88","1,883,362.25","1,866,108.38","","0.44%"
"02/10/2021","1,874,510.88","1,870,622.38","1,886,935.50","1,860,197.50","","0.21%"
"02/09/2021","1,870,622.38","1,850,033.25","1,871,633.63","1,829,031.75","","1.11%"
"02/08/2021","1,850,033.25","1,877,815.75","1,883,884.25","1,843,176.88","","-1.48%"
"02/05/2021","1,877,815.75","1,903,205.50","1,912,791.50","1,876,766.75","","-1.33%"
"02/04/2021","1,903,205.50","1,937,007.50","1,937,284.00","1,903,205.50","","-1.75%"
"02/03/2021","1,937,007.50","1,888,852.75","1,937,974.88","1,887,222.50","","2.64%"
"02/02/2021","1,887,222.50","1,903,875.50","1,927,793.13","1,876,038.38","","-0.96%"
"02/01/2021","1,905,502.88","1,924,354.75","1,966,441.00","1,905,502.88","","-0.98%"
"01/29/2021","1,924,354.75","1,921,557.38","1,946,834.63","1,905,128.63","","0.15%"
"01/28/2021","1,921,557.38","1,909,861.25","1,940,941.00","1,909,082.38","","0.61%"
"01/27/2021","1,909,861.25","1,887,118.88","1,924,251.38","1,879,905.50","","1.21%"
"01/26/2021","1,887,118.88","1,936,237.25","1,942,806.63","1,887,118.88","","-2.54%"
"01/25/2021","1,936,237.25","1,997,191.88","1,997,191.88","1,934,823.13","","-3.05%"
"01/22/2021","1,997,191.88","1,925,396.50","2,017,488.63","1,925,396.50","","3.73%"
"01/21/2021","1,925,396.50","1,785,018.75","1,925,396.50","1,784,906.75","","7.86%"
"01/20/2021","1,785,018.75","1,799,541.88","1,863,816.00","1,767,454.25","","-0.81%"
"01/19/2021","1,799,541.88","1,741,966.13","1,799,541.88","1,741,966.13","","3.31%"
"01/15/2021","1,741,966.13","1,818,485.63","1,867,023.88","1,715,196.13","","-4.21%"
"01/14/2021","1,818,485.63","1,745,892.00","1,818,485.63","1,731,584.13","","4.16%"
"01/13/2021","1,745,892.00","1,804,195.75","1,810,767.75","1,737,555.75","","-3.23%"
"01/12/2021","1,804,195.75","1,905,696.00","1,922,445.13","1,740,890.88","","-5.33%"
"01/08/2021","1,905,696.00","1,657,941.13","1,905,696.00","1,657,941.13","","14.94%"
"01/07/2021","1,657,941.13","1,449,892.50","1,659,077.75","1,449,892.50","","14.35%"
"01/06/2021","1,449,892.50","1,381,986.75","1,449,892.50","1,381,804.13","","4.91%"
"01/05/2021","1,381,986.75","1,448,283.63","1,450,281.75","1,381,986.75","","-4.58%"
"01/04/2021","1,448,283.63","1,332,059.88","1,461,508.13","1,332,059.88","","8.73%"
"12/30/2020","1,332,059.88","1,252,254.50","1,332,059.88","1,252,254.00","","6.37%"
"12/29/2020","1,252,254.50","1,238,367.25","1,254,494.75","1,171,856.75","","1.12%"
"12/28/2020","1,238,367.25","1,229,396.38","1,238,367.25","1,217,590.88","","0.73%"
"12/23/2020","1,229,396.38","1,230,221.88","1,240,935.88","1,218,098.88","","-0.07%"
"12/22/2020","1,230,221.88","1,235,117.00","1,251,386.88","1,223,188.38","","-0.40%"
"12/21/2020","1,235,117.00","1,267,251.25","1,278,646.88","1,234,416.38","","-2.54%"
"12/18/2020","1,267,251.25","1,270,626.63","1,272,113.25","1,261,542.50","","-0.27%"
"12/17/2020","1,270,626.63","1,322,428.38","1,326,643.13","1,270,626.63","","-3.92%"
"12/16/2020","1,322,428.38","1,331,370.50","1,369,001.88","1,285,729.13","","-0.67%"
"12/15/2020","1,331,370.50","1,288,431.25","1,345,721.13","1,288,431.25","","3.33%"
"12/11/2020","1,288,431.25","1,279,129.75","1,302,994.50","1,279,129.75","","0.73%"
"12/10/2020","1,279,129.75","1,298,415.38","1,302,660.00","1,278,673.50","","-1.49%"
"12/09/2020","1,298,415.38","1,314,862.00","1,340,935.88","1,293,997.63","","-1.25%"
"12/08/2020","1,314,862.00","1,344,245.50","1,345,132.88","1,298,744.25","","-2.19%"
"12/07/2020","1,344,245.50","1,376,478.13","1,401,392.13","1,341,600.13","","-2.34%"
"12/04/2020","1,376,478.13","1,291,285.63","1,376,478.13","1,291,285.63","","6.60%"
"12/03/2020","1,291,285.63","1,230,764.63","1,308,257.63","1,230,764.63","","4.92%"
"12/02/2020","1,230,764.63","1,265,970.13","1,291,598.00","1,202,707.13","","-2.78%"
"12/01/2020","1,265,970.13","1,273,562.25","1,316,440.00","1,265,970.13","","-0.60%"
"11/30/2020","1,273,550.38","1,142,987.50","1,274,037.38","1,142,802.00","","11.44%"
"11/27/2020","1,142,802.00","891,480.44","1,142,802.00","891,463.56","","28.19%"
"11/26/2020","891,463.56","800,894.19","891,463.56","800,859.94","","11.31%"
"11/25/2020","800,859.94","794,039.06","803,602.88","792,836.25","","0.86%"
"11/24/2020","794,039.00","699,912.81","794,039.00","699,912.81","","13.45%"
"11/20/2020","699,912.81","638,019.44","699,912.81","638,019.44","","9.70%"
"11/19/2020","638,019.44","628,845.38","638,019.44","628,845.38","","1.46%"
"11/18/2020","628,845.38","622,095.06","631,116.88","622,095.06","","1.09%"
"11/17/2020","622,095.06","622,016.00","624,773.75","616,092.19","","0.01%"
"11/16/2020","622,016.00","632,146.94","634,104.50","621,876.81","","-1.60%"
"11/13/2020","632,147.00","609,044.13","632,147.00","609,044.13","","3.79%"
"11/12/2020","609,044.13","596,108.06","609,044.13","596,108.06","","2.17%"
"11/11/2020","596,108.06","590,654.75","596,290.75","590,654.75","","0.92%"
"11/10/2020","590,654.75","583,980.00","591,204.69","582,664.31","","1.14%"
"11/09/2020","583,980.00","582,302.19","584,429.69","582,302.19","","0.29%"
"11/06/2020","582,302.19","580,773.94","585,956.44","580,773.94","","0.26%"
"11/05/2020","580,773.94","577,284.00","581,826.69","576,928.94","","0.60%"
"11/04/2020","577,284.00","579,560.00","580,756.06","574,351.69","","-0.39%"
"11/03/2020","579,560.00","576,075.19","583,300.25","575,292.19","","0.60%"
"11/02/2020","576,075.19","580,091.63","580,810.94","568,057.31","","-0.69%"
"10/30/2020","580,091.63","576,982.06","582,143.81","576,982.06","","0.54%"
"10/29/2020","576,982.06","573,980.38","577,543.88","572,584.06","","0.52%"
"10/28/2020","573,980.38","556,011.81","584,678.00","556,011.81","","3.23%"
"10/27/2020","556,011.81","565,517.25","568,604.13","556,011.81","","-1.68%"
"10/26/2020","565,517.25","557,704.31","574,340.25","557,704.31","","1.40%"
"10/23/2020","557,704.31","553,045.88","557,704.31","549,125.19","","0.84%"
"10/22/2020","553,045.88","555,263.19","555,263.19","551,135.63","","-0.40%"
"10/21/2020","555,263.19","557,238.38","561,811.63","544,576.25","","-0.35%"
"10/20/2020","557,238.38","550,026.75","559,459.50","550,026.75","","1.31%"
"10/19/2020","550,026.75","549,667.50","558,906.81","549,096.31","","0.07%"
"10/16/2020","549,667.50","551,187.06","552,914.63","549,148.69","","-0.28%"
"10/15/2020","551,187.06","554,087.94","556,526.00","551,187.06","","-0.52%"
"10/14/2020","554,087.88","556,163.50","558,257.19","554,024.81","","-0.37%"
"10/13/2020","556,163.50","545,353.88","558,598.13","545,258.38","","1.98%"
"10/09/2020","545,353.88","546,595.56","546,753.19","545,271.81","","-0.23%"
"10/08/2020","546,595.56","541,102.56","547,941.50","541,102.56","","1.02%"
"10/07/2020","541,102.56","546,806.88","546,922.50","540,948.56","","-1.04%"
"10/06/2020","546,806.88","542,730.56","546,989.75","538,071.63","","0.75%"
"10/05/2020","542,730.56","542,702.31","547,711.25","542,672.25","","0.01%"
"10/02/2020","542,702.31","542,611.63","551,409.63","542,611.63","","0.02%"
"10/01/2020","542,611.63","538,853.88","547,446.94","537,990.00","","0.70%"
"09/30/2020","538,853.88","531,888.44","539,177.25","531,888.44","","1.31%"
"09/29/2020","531,888.44","522,748.19","533,168.44","518,809.28","","1.75%"
"09/28/2020","522,748.19","519,983.75","526,154.56","519,983.75","","0.53%"
"09/25/2020","519,983.75","509,008.97","519,983.75","509,008.97","","2.16%"
"09/24/2020","509,008.97","504,419.97","509,226.84","504,157.91","","0.91%"
"09/23/2020","504,419.97","500,023.22","508,347.59","500,023.22","","0.88%"
"09/22/2020","500,023.22","509,832.94","514,525.94","500,023.22","","-1.92%"
"09/21/2020","509,832.94","501,814.00","514,299.31","501,142.78","","1.60%"
"09/18/2020","501,814.00","511,517.28","513,287.44","501,311.72","","-1.90%"
"09/17/2020","511,517.28","512,260.53","513,995.00","505,639.66","","-0.15%"
"09/16/2020","512,260.53","502,989.88","512,345.41","502,307.69","","1.84%"
"09/15/2020","502,989.88","515,007.44","515,076.09","502,989.88","","-2.33%"
"09/11/2020","515,007.44","517,252.97","518,339.81","514,529.81","","-0.43%"
"09/10/2020","517,252.97","518,466.53","518,858.59","516,948.13","","-0.23%"
"09/09/2020","518,466.53","520,968.38","521,184.94","518,466.53","","-0.48%"
"09/08/2020","520,968.38","522,114.50","522,284.97","520,335.63","","-0.22%"
"09/07/2020","522,114.50","522,039.56","524,112.63","520,925.16","","0.01%"
"09/04/2020","522,039.56","518,272.06","522,644.88","518,272.06","","0.73%"
"09/03/2020","518,272.06","517,866.72","519,360.19","517,866.72","","0.08%"
"09/02/2020","517,866.72","518,570.84","519,381.69","507,237.22","","-0.14%"
"09/01/2020","518,570.84","522,587.56","523,560.75","518,401.34","","-0.77%"
"08/31/2020","522,587.56","523,875.56","526,400.25","518,883.72","","-0.25%"
"08/28/2020","523,875.56","513,620.69","525,466.50","513,620.69","","2.00%"
"08/27/2020","513,620.69","515,882.72","519,568.00","513,439.03","","-0.44%"
"08/26/2020","515,882.72","515,316.41","517,064.44","510,184.78","","0.11%"
"08/25/2020","515,316.41","508,911.78","522,864.06","508,911.78","","1.26%"
"08/24/2020","508,911.78","502,578.91","510,048.06","502,578.91","","1.26%"
"08/21/2020","502,578.91","498,633.72","502,844.28","496,295.13","","0.79%"
"08/20/2020","498,633.72","490,779.88","500,558.34","490,615.22","","1.60%"
"08/19/2020","490,779.88","486,442.09","491,831.66","485,315.38","","0.89%"
"08/18/2020","486,442.09","487,795.19","489,570.53","485,091.28","","-0.28%"
"08/17/2020","487,795.19","497,343.88","499,795.44","487,795.19","","-1.92%"
"08/14/2020","497,343.88","491,593.56","498,589.59","491,593.56","","1.17%"
"08/13/2020","491,593.56","463,802.47","492,182.59","463,770.31","","5.99%"
"08/12/2020","463,802.47","450,683.81","463,802.47","450,683.81","","2.91%"
"08/11/2020","450,683.81","479,024.22","479,024.22","449,524.13","","-5.92%"
"08/10/2020","479,024.22","466,698.66","489,682.25","466,698.66","","2.64%"
"08/07/2020","466,698.66","418,496.28","468,346.31","418,473.31","","11.52%"
"08/06/2020","418,496.28","406,865.03","418,806.06","406,865.03","","2.86%"
"08/05/2020","406,865.03","399,219.75","411,237.88","399,039.09","","1.92%"
"08/04/2020","399,219.75","386,805.69","401,210.72","386,180.88","","3.21%"
"08/03/2020","386,805.69","374,208.25","386,805.69","374,208.25","","3.37%"
"07/31/2020","374,208.25","363,143.91","374,859.88","361,200.53","","3.05%"
"07/30/2020","363,143.91","353,319.28","364,299.94","353,319.28","","2.78%"
"07/29/2020","353,319.28","351,751.44","353,613.19","351,751.44","","0.45%"
"07/28/2020","351,751.44","350,557.13","354,326.63","350,557.13","","0.31%"
"07/27/2020","350,649.69","352,332.44","358,450.97","349,267.38","","-0.48%"
"07/23/2020","352,332.44","335,868.47","353,160.03","335,868.47","","4.90%"
"07/22/2020","335,868.47","326,973.16","335,868.47","326,767.63","","2.72%"
"07/21/2020","326,973.16","324,307.34","329,764.75","323,917.91","","0.82%"
"07/20/2020","324,307.34","319,082.25","325,952.47","319,082.25","","1.64%"
"07/17/2020","319,082.25","317,448.84","321,324.13","317,356.91","","0.51%"
"07/16/2020","317,448.84","316,864.88","319,076.75","316,009.50","","0.18%"
"07/15/2020","316,864.88","316,887.50","317,750.06","310,124.59","","-0.01%"
"07/14/2020","316,887.50","320,322.59","320,989.69","315,823.25","","-1.07%"
"07/13/2020","320,322.59","333,994.31","335,742.22","319,267.41","","-4.09%"
"07/10/2020","333,994.31","323,604.72","334,878.41","319,981.03","","3.21%"
"07/09/2020","323,604.72","328,014.44","331,258.34","318,950.81","","-1.34%"
"07/08/2020","328,014.44","333,876.53","342,020.72","326,823.22","","-1.76%"
"07/07/2020","333,876.53","305,579.19","337,932.34","305,579.16","","9.26%"
"07/06/2020","305,579.16","301,778.38","314,129.94","301,085.06","","1.26%"
"07/03/2020","301,778.38","313,413.25","314,870.28","301,778.38","","-3.71%"
"07/02/2020","313,413.25","317,726.00","317,726.00","313,408.13","","-1.36%"
"07/01/2020","317,726.00","321,057.81","321,109.69","317,259.97","","-1.04%"
"06/30/2020","321,057.81","315,164.97","323,529.19","313,172.59","","1.87%"
"06/26/2020","315,164.97","312,097.34","316,880.59","312,097.34","","0.98%"
"06/25/2020","312,097.34","325,185.47","330,508.13","311,914.25","","-4.02%"
"06/23/2020","325,185.47","320,724.19","326,809.13","320,603.91","","1.39%"
"06/22/2020","320,724.19","321,308.34","322,106.19","320,721.63","","-0.18%"
"06/19/2020","321,308.34","323,282.31","324,063.78","310,303.66","","-0.61%"
"06/18/2020","323,282.31","322,375.84","325,463.06","322,215.00","","0.28%"
"06/17/2020","322,375.84","325,844.53","326,386.00","321,782.06","","-1.06%"
"06/16/2020","325,844.53","330,454.56","330,884.31","324,440.50","","-1.40%"
"06/12/2020","330,454.56","328,490.09","332,398.75","327,923.91","","0.60%"
"06/11/2020","328,490.09","329,633.13","337,643.31","326,980.84","","-0.35%"
"06/10/2020","329,633.13","332,013.13","334,346.81","328,596.28","","-0.72%"
"06/09/2020","332,013.13","337,855.94","338,872.34","330,837.38","","-1.73%"
"06/08/2020","337,855.94","344,397.63","347,445.75","337,557.53","","-1.90%"
"06/05/2020","344,397.63","346,862.03","348,611.72","343,930.47","","-0.71%"
"06/04/2020","346,862.03","346,890.28","349,735.19","346,278.78","","-0.01%"
"06/03/2020","346,890.28","343,088.66","348,049.50","343,088.66","","1.54%"
"06/02/2020","341,645.00","330,021.69","341,645.00","329,766.66","","3.52%"
"06/01/2020","330,021.69","324,240.00","330,517.84","323,039.44","","1.78%"
"05/29/2020","324,240.00","323,765.91","328,689.75","323,539.50","","0.15%"
"05/28/2020","323,765.91","303,685.34","323,765.91","302,042.34","","6.61%"
"05/27/2020","303,685.34","297,063.81","303,685.34","295,480.66","","2.23%"
"05/26/2020","297,063.81","306,374.13","308,537.72","294,835.31","","-3.04%"
"05/22/2020","306,374.13","297,625.84","306,374.25","297,174.56","","2.94%"
"05/21/2020","297,625.84","300,028.75","300,585.78","296,797.56","","-0.80%"
"05/20/2020","300,028.75","298,249.66","300,803.22","298,249.66","","0.60%"
"05/19/2020","298,249.66","295,525.06","298,867.81","295,525.06","","0.92%"
"05/18/2020","295,525.06","293,502.88","302,837.69","293,480.88","","0.69%"
"05/15/2020","293,502.88","288,638.25","297,922.00","288,638.25","","1.69%"
"05/14/2020","288,638.25","312,238.59","313,352.91","288,638.25","","-7.56%"
"05/13/2020","312,238.59","324,304.78","324,735.81","305,639.78","","-3.72%"
"05/12/2020","324,304.78","326,819.13","331,944.53","324,285.50","","-0.77%"
"05/11/2020","326,819.13","327,382.91","340,503.06","326,819.13","","-0.17%"
"05/08/2020","327,382.91","316,485.06","327,925.72","316,485.06","","3.44%"
"05/07/2020","316,485.06","309,885.16","316,562.00","309,783.06","","2.13%"
"05/06/2020","309,885.16","303,715.69","317,643.97","303,549.47","","2.03%"
"05/05/2020","303,715.69","297,137.44","303,786.00","296,580.41","","2.21%"
"05/04/2020","297,137.44","289,324.75","297,988.03","286,546.88","","2.70%"
"04/30/2020","289,324.75","284,439.19","292,493.81","284,416.28","","1.72%"
"04/29/2020","284,439.19","279,952.13","286,075.84","279,486.72","","1.60%"
"04/28/2020","279,952.13","282,383.09","289,019.22","279,951.91","","-0.86%"
"04/27/2020","282,383.09","286,273.03","295,613.84","282,082.75","","-1.36%"
"04/24/2020","286,273.03","293,792.44","300,100.25","286,189.59","","-2.56%"
"04/23/2020","293,792.44","274,761.78","296,985.59","274,761.78","","6.93%"
"04/22/2020","274,761.78","255,322.23","274,761.78","255,322.23","","7.61%"
"04/21/2020","255,322.23","247,935.91","256,540.84","247,935.91","","2.98%"
"04/20/2020","247,935.91","230,742.89","248,339.73","230,742.89","","7.45%"
"04/17/2020","230,742.89","241,905.97","243,339.67","230,215.94","","-4.61%"
"04/16/2020","241,894.17","248,509.91","248,509.91","241,894.05","","-2.66%"
"04/15/2020","248,509.91","249,098.83","256,045.30","247,753.55","","-0.24%"
"04/14/2020","249,098.83","227,597.09","254,818.81","227,597.09","","9.45%"
"04/13/2020","227,597.09","191,984.67","227,597.09","191,984.67","","18.55%"
"04/08/2020","191,984.67","164,354.42","191,984.67","164,354.42","","16.81%"
"04/07/2020","164,354.42","150,484.88","164,354.42","150,322.31","","9.22%"
"04/06/2020","150,484.88","133,086.45","150,484.88","133,086.45","","13.07%"
"04/03/2020","133,086.45","127,331.47","133,967.86","123,957.99","","4.52%"
"04/02/2020","127,331.47","117,920.12","127,457.94","117,904.52","","7.98%"
"04/01/2020","117,920.12","105,615.79","117,920.12","105,565.08","","11.65%"
"03/31/2020","105,615.79","101,194.94","105,641.02","101,148.06","","4.37%"
"03/30/2020","101,194.94","88,643.18","101,194.94","88,643.18","","14.16%"
"03/27/2020","88,643.18","88,548.06","88,643.18","86,591.62","","0.11%"
"03/26/2020","88,548.06","89,857.35","90,018.14","86,103.73","","-1.46%"
"03/25/2020","89,857.35","90,145.86","90,428.70","88,783.22","","-0.32%"
"03/24/2020","90,145.86","92,347.48","92,347.48","87,057.70","","-2.38%"
"03/23/2020","92,347.48","98,326.88","98,384.83","92,347.48","","-6.08%"
"03/20/2020","98,326.88","101,251.93","101,251.93","98,326.88","","-2.89%"
"03/18/2020","101,251.93","104,070.67","104,092.70","99,472.48","","-2.71%"
"03/17/2020","104,070.67","103,887.72","104,652.30","103,571.00","","0.18%"
"03/16/2020","103,887.72","105,807.64","106,227.45","103,887.72","","-1.72%"
"03/12/2020","105,710.60","103,457.46","106,964.99","103,457.46","","2.18%"
"03/11/2020","103,457.46","104,392.30","104,815.23","103,457.46","","-0.90%"
"03/10/2020","104,392.30","103,904.01","104,392.30","102,753.96","","0.47%"
"03/09/2020","103,906.30","108,196.83","108,206.97","102,310.38","","-3.97%"
"03/06/2020","108,196.83","104,630.66","108,196.83","104,545.35","","3.41%"
"03/05/2020","104,630.66","104,211.84","104,945.11","103,921.65","","0.40%"
"03/04/2020","104,211.84","103,306.75","104,211.84","102,887.62","","0.88%"
"03/03/2020","103,306.75","104,721.40","105,304.55","103,245.35","","-1.35%"
"03/02/2020","104,721.40","108,771.66","108,772.81","104,721.40","","-3.72%"
"02/28/2020","108,771.66","108,292.73","110,598.52","106,716.02","","0.44%"
"02/27/2020","108,292.73","111,216.76","111,228.89","107,682.55","","-2.63%"
"02/26/2020","111,216.76","118,337.43","118,337.43","111,216.76","","-6.02%"
"02/21/2020","118,337.43","118,910.82","118,910.82","116,613.51","","-0.48%"
"02/20/2020","118,910.82","121,804.44","122,300.10","117,821.97","","-2.38%"
"02/19/2020","121,804.44","124,524.61","124,721.42","121,398.85","","-2.18%"
"02/18/2020","124,524.61","127,325.07","127,558.30","120,920.91","","-2.20%"
"02/17/2020","127,325.07","123,888.89","128,059.47","123,888.89","","2.77%"
"02/14/2020","123,888.89","126,449.34","127,905.16","123,402.65","","-2.02%"
"02/13/2020","126,449.34","128,255.12","128,658.18","126,449.34","","-1.41%"
"02/12/2020","128,255.12","129,153.16","129,518.63","128,255.12","","-0.70%"
"02/11/2020","129,153.16","128,036.77","129,235.92","128,036.77","","0.87%"
"02/10/2020","128,036.77","127,152.46","128,923.41","126,388.37","","0.70%"
"02/07/2020","127,152.46","127,178.88","128,374.34","126,323.31","","-0.02%"
"02/06/2020","127,178.88","125,568.41","127,178.88","124,474.27","","1.28%"
"02/05/2020","125,568.41","125,936.38","127,016.75","125,302.88","","-0.29%"
"02/04/2020","125,936.38","127,671.45","127,688.69","125,567.77","","-1.36%"
"02/03/2020","127,671.45","129,541.10","130,819.13","126,819.23","","-1.44%"
"01/31/2020","129,541.10","121,755.22","129,895.41","121,755.22","","6.39%"
"01/30/2020","121,755.22","110,867.91","121,755.22","110,867.91","","9.82%"
"01/29/2020","110,867.91","102,104.80","113,629.77","100,192.51","","8.58%"
"01/28/2020","102,104.80","108,061.20","108,061.20","102,020.97","","-5.51%"
"01/27/2020","108,061.20","108,272.44","108,297.74","106,880.59","","-0.20%"
"01/24/2020","108,272.44","116,643.96","117,170.60","108,260.05","","-7.18%"
"01/23/2020","116,643.96","118,248.50","118,941.59","116,528.22","","-1.36%"
"01/22/2020","118,248.50","118,617.37","119,352.27","115,774.16","","-0.31%"
"01/21/2020","118,617.38","122,897.51","122,897.78","115,428.48","","-3.48%"
"01/17/2020","122,897.51","124,068.72","128,525.29","122,414.50","","-0.94%"
"01/16/2020","124,068.72","124,789.33","126,858.69","124,057.65","","-0.58%"
"01/15/2020","124,789.33","121,726.74","124,789.33","121,726.74","","1.06%"
"01/13/2020","123,483.57","119,242.96","124,679.38","119,242.96","","3.56%"
"01/10/2020","119,242.96","112,346.45","119,267.52","112,346.45","","6.14%"
"01/09/2020","112,346.45","107,456.70","112,358.92","107,456.70","","4.55%"
"01/08/2020","107,456.70","101,804.20","107,456.98","101,571.48","","5.55%"
"01/07/2020","101,804.20","98,580.19","102,927.89","98,580.19","","3.27%"
"01/03/2020","98,580.19","93,048.36","100,128.18","93,048.36","","5.95%"
"01/02/2020","93,048.36","90,224.09","93,547.55","89,847.86","","3.13%"
"12/30/2019","90,224.09","83,188.06","90,509.56","82,998.84","","8.46%"
"12/27/2019","83,188.06","80,655.96","84,388.67","80,655.96","","3.14%"
"12/26/2019","80,655.96","79,749.66","80,669.99","79,377.12","","1.14%"
"12/23/2019","79,749.66","79,344.83","80,805.45","77,715.05","","0.51%"
"12/20/2019","79,344.83","71,401.29","80,649.02","71,401.29","","11.13%"
"12/19/2019","71,401.29","63,308.93","71,401.29","63,296.46","","12.78%"
"12/18/2019","63,308.93","60,502.85","63,496.54","60,502.85","","4.64%"
"12/17/2019","60,502.85","62,060.32","62,593.02","60,174.65","","-2.51%"
"12/16/2019","62,060.32","62,022.46","62,554.73","61,708.23","","0.06%"
"12/13/2019","62,022.46","61,124.75","62,449.78","60,976.92","","1.47%"
"12/12/2019","61,124.75","61,917.54","61,917.54","61,010.22","","-1.28%"
"12/11/2019","61,917.54","66,208.62","66,830.05","61,917.54","","-6.48%"
"12/10/2019","66,208.62","67,582.93","67,582.93","66,208.62","","-2.03%"
"12/09/2019","67,582.93","70,997.36","71,003.42","67,582.93","","-4.81%"
"12/06/2019","70,997.36","70,514.51","71,035.03","70,504.08","","0.68%"
"12/05/2019","70,514.51","71,167.77","71,392.60","70,514.51","","-0.92%"
"12/04/2019","71,167.77","70,876.30","71,452.98","70,797.87","","0.41%"
"12/03/2019","70,876.30","70,507.73","71,499.37","70,503.84","","0.52%"
"12/02/2019","70,507.73","69,894.88","70,534.79","69,503.16","","0.88%"
"11/29/2019","69,894.88","65,851.19","69,971.59","65,759.83","","6.14%"
"11/28/2019","65,851.19","64,030.82","66,364.64","64,030.82","","2.84%"
"11/27/2019","64,030.82","60,293.50","64,581.05","60,293.50","","6.20%"
"11/26/2019","60,293.50","61,620.72","62,795.23","59,282.68","","-2.15%"
"11/25/2019","61,620.72","61,855.60","62,090.03","60,764.63","","-0.38%"
"11/22/2019","61,855.60","60,854.88","61,855.60","60,833.10","","1.64%"
"11/21/2019","60,854.88","61,699.10","61,972.64","59,698.55","","-1.37%"
"11/20/2019","61,699.10","61,523.12","62,173.42","61,523.12","","0.29%"
"11/19/2019","61,523.12","60,337.76","61,772.19","60,337.76","","1.96%"
"11/18/2019","60,337.76","59,196.79","60,406.83","59,196.79","","1.93%"
"11/15/2019","59,196.79","59,444.04","59,937.09","56,806.05","","-0.42%"
"11/14/2019","59,444.04","60,671.38","60,671.38","59,295.20","","-2.02%"
"11/13/2019","60,671.38","58,379.67","60,790.81","58,379.67","","3.93%"
"11/12/2019","58,379.67","57,077.23","58,578.92","57,077.23","","2.28%"
"11/11/2019","57,077.23","53,039.07","57,077.23","53,039.07","","7.61%"
"11/08/2019","53,039.07","51,582.28","53,039.07","51,452.33","","2.82%"
"11/07/2019","51,582.28","48,085.34","51,582.28","48,085.34","","7.27%"
"11/06/2019","48,085.34","48,124.21","48,909.16","48,085.34","","-0.08%"
"11/05/2019","48,124.21","47,448.60","48,445.39","47,354.09","","1.42%"
"11/01/2019","47,448.60","47,772.07","49,690.66","47,326.22","","-0.68%"
"10/31/2019","47,772.07","51,203.09","51,539.43","47,343.41","","-6.70%"
"10/30/2019","51,203.09","50,903.59","51,478.81","50,694.96","","0.59%"
"10/29/2019","50,903.59","48,363.06","50,927.07","48,363.06","","5.25%"
"10/28/2019","48,363.06","48,929.00","49,670.77","48,363.06","","-1.16%"
"10/25/2019","48,929.00","48,282.34","50,513.75","48,282.33","","1.34%"
"10/24/2019","48,282.33","47,219.16","49,034.66","47,206.93","","2.25%"
"10/23/2019","47,219.16","45,008.61","47,374.06","45,008.61","","4.91%"
"10/22/2019","45,008.61","46,005.59","46,040.50","44,879.18","","-2.17%"
