"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2014","2,688.57","2,649.57","2,688.57","2,649.57","10.10K","1.47%"
"09/09/2014","2,649.57","2,655.86","2,675.58","2,610.39","24.74K","-0.24%"
"09/08/2014","2,655.86","2,649.22","2,655.86","2,649.22","13.57K","0.25%"
"09/05/2014","2,649.22","2,649.22","2,649.22","2,649.22","2.40K","0.00%"
"09/04/2014","2,649.22","2,624.16","2,649.22","2,624.16","42.69K","0.95%"
"09/03/2014","2,624.16","2,621.55","2,624.16","2,621.55","13.35K","0.10%"
"09/02/2014","2,621.55","2,623.96","2,623.96","2,613.56","16.57K","-0.09%"
"09/01/2014","2,623.96","2,622.67","2,623.96","2,622.67","3.92K","0.05%"
"08/29/2014","2,622.67","2,586.37","2,622.67","2,586.37","4.96K","1.40%"
"08/28/2014","2,586.37","2,596.75","2,596.75","2,586.37","46.83K","-0.40%"
"08/27/2014","2,596.75","2,534.24","2,596.75","2,526.99","2.90K","2.47%"
"08/26/2014","2,534.24","2,573.05","2,573.05","2,534.24","2.41K","-1.51%"
"08/25/2014","2,573.05","2,558.86","2,573.05","2,557.10","7.35K","0.55%"
"08/22/2014","2,558.86","2,547.26","2,558.86","2,547.26","9.74K","0.46%"
"08/21/2014","2,547.26","2,527.23","2,547.26","2,527.23","37.61K","0.79%"
"08/20/2014","2,527.23","2,476.57","2,527.23","2,469.32","16.48K","2.05%"
"08/19/2014","2,476.57","2,397.72","2,476.57","2,397.31","8.66K","3.29%"
"08/15/2014","2,397.72","2,429.55","2,429.55","2,371.55","1.15K","-1.31%"
"08/14/2014","2,429.55","2,319.69","2,429.55","2,319.69","1.21K","4.74%"
"08/13/2014","2,319.69","2,172.39","2,334.19","2,172.39","4.71K","8.23%"
"08/12/2014","2,143.39","2,140.20","2,144.27","2,140.20","10.45K","0.15%"
"08/11/2014","2,140.20","2,139.62","2,140.20","2,139.62","0.24K","0.03%"
"08/08/2014","2,139.62","2,148.55","2,148.55","2,110.99","56.39K","-0.42%"
"08/07/2014","2,148.55","2,185.43","2,185.43","2,148.55","5.75K","-1.69%"
"08/06/2014","2,185.43","2,182.61","2,194.16","2,179.66","4.16K","0.13%"
