date,value,reporter,partner
2022-10-01,946462528,Guyana,"All Countries, excluding the IO"
2022-11-01,769801318,Guyana,"All Countries, excluding the IO"
2022-12-01,779884025,Guyana,"All Countries, excluding the IO"
2023-01-01,583618107,Guyana,"All Countries, excluding the IO"
2023-02-01,800532290,Guyana,"All Countries, excluding the IO"
2023-03-01,840804251,Guyana,"All Countries, excluding the IO"
2023-04-01,862105571,Guyana,"All Countries, excluding the IO"
2023-05-01,645093435,Guyana,"All Countries, excluding the IO"
2023-06-01,778001307,Guyana,"All Countries, excluding the IO"
2019-01-01,621656260,Mongolia,"All Countries, excluding the IO"
2019-02-01,492401022,Mongolia,"All Countries, excluding the IO"
2019-03-01,683341622,Mongolia,"All Countries, excluding the IO"
2019-04-01,750385536,Mongolia,"All Countries, excluding the IO"
2019-05-01,757183136,Mongolia,"All Countries, excluding the IO"
2019-06-01,682346613,Mongolia,"All Countries, excluding the IO"
2019-07-01,635059457,Mongolia,"All Countries, excluding the IO"
2019-08-01,835648608,Mongolia,"All Countries, excluding the IO"
2019-09-01,565579686,Mongolia,"All Countries, excluding the IO"
2019-10-01,576131170,Mongolia,"All Countries, excluding the IO"
2019-11-01,506970793,Mongolia,"All Countries, excluding the IO"
2019-12-01,525738170.99999994,Mongolia,"All Countries, excluding the IO"
2020-01-01,511122633,Mongolia,"All Countries, excluding the IO"
2020-02-01,337706350,Mongolia,"All Countries, excluding the IO"
2020-03-01,279841575,Mongolia,"All Countries, excluding the IO"
2020-04-01,347779439,Mongolia,"All Countries, excluding the IO"
2020-05-01,636390061,Mongolia,"All Countries, excluding the IO"
2020-06-01,811499606,Mongolia,"All Countries, excluding the IO"
2020-07-01,936014798,Mongolia,"All Countries, excluding the IO"
2020-08-01,669286067,Mongolia,"All Countries, excluding the IO"
2020-09-01,647916549,Mongolia,"All Countries, excluding the IO"
2020-10-01,817682459,Mongolia,"All Countries, excluding the IO"
2020-11-01,856563934,Mongolia,"All Countries, excluding the IO"
2020-12-01,723701227,Mongolia,"All Countries, excluding the IO"
2021-01-01,586709062,Mongolia,"All Countries, excluding the IO"
2021-02-01,651603417,Mongolia,"All Countries, excluding the IO"
2021-03-01,637149694,Mongolia,"All Countries, excluding the IO"
2021-04-01,483325187,Mongolia,"All Countries, excluding the IO"
2021-05-01,817091133,Mongolia,"All Countries, excluding the IO"
2021-06-01,764874428,Mongolia,"All Countries, excluding the IO"
2021-07-01,633953261,Mongolia,"All Countries, excluding the IO"
2021-08-01,899831158,Mongolia,"All Countries, excluding the IO"
2021-09-01,828024502,Mongolia,"All Countries, excluding the IO"
2021-10-01,1159690615,Mongolia,"All Countries, excluding the IO"
2021-11-01,1348978289,Mongolia,"All Countries, excluding the IO"
2021-12-01,430146657,Mongolia,"All Countries, excluding the IO"
2022-01-01,547834292,Mongolia,"All Countries, excluding the IO"
2022-02-01,647924512,Mongolia,"All Countries, excluding the IO"
2022-03-01,767932143,Mongolia,"All Countries, excluding the IO"
2022-04-01,882822289,Mongolia,"All Countries, excluding the IO"
2022-05-01,1286435414,Mongolia,"All Countries, excluding the IO"
2022-06-01,1223300697,Mongolia,"All Countries, excluding the IO"
2022-07-01,1152437101,Mongolia,"All Countries, excluding the IO"
2022-08-01,1283911008,Mongolia,"All Countries, excluding the IO"
2022-09-01,1154473447,Mongolia,"All Countries, excluding the IO"
2022-10-01,1078640278,Mongolia,"All Countries, excluding the IO"
2022-11-01,1122968267,Mongolia,"All Countries, excluding the IO"
2022-12-01,1377304466,Mongolia,"All Countries, excluding the IO"
2023-01-01,1403720876,Mongolia,"All Countries, excluding the IO"
2023-02-01,1489003377,Mongolia,"All Countries, excluding the IO"
2023-03-01,1247690218,Mongolia,"All Countries, excluding the IO"
2023-04-01,943037874,Mongolia,"All Countries, excluding the IO"
2023-05-01,904957381,Mongolia,"All Countries, excluding the IO"
2023-06-01,1271669364,Mongolia,"All Countries, excluding the IO"
2019-01-01,38711964,Barbados,"All Countries, excluding the IO"
2019-02-01,43815196,Barbados,"All Countries, excluding the IO"
2019-03-01,41378683,Barbados,"All Countries, excluding the IO"
2019-04-01,38885320,Barbados,"All Countries, excluding the IO"
2019-05-01,40686794,Barbados,"All Countries, excluding the IO"
2019-06-01,29750182,Barbados,"All Countries, excluding the IO"
2019-07-01,29657660,Barbados,"All Countries, excluding the IO"
2019-08-01,35060976,Barbados,"All Countries, excluding the IO"
2019-09-01,20262958,Barbados,"All Countries, excluding the IO"
2019-10-01,29367809,Barbados,"All Countries, excluding the IO"
2019-11-01,22306726,Barbados,"All Countries, excluding the IO"
2019-12-01,16974161,Barbados,"All Countries, excluding the IO"
2020-01-01,18320885,Barbados,"All Countries, excluding the IO"
2020-02-01,26099617,Barbados,"All Countries, excluding the IO"
2020-03-01,22173279,Barbados,"All Countries, excluding the IO"
2020-04-01,11533715,Barbados,"All Countries, excluding the IO"
2020-05-01,23158252,Barbados,"All Countries, excluding the IO"
2020-06-01,24336818,Barbados,"All Countries, excluding the IO"
2020-07-01,25367161,Barbados,"All Countries, excluding the IO"
2020-08-01,22062686,Barbados,"All Countries, excluding the IO"
2020-09-01,25353771,Barbados,"All Countries, excluding the IO"
2020-10-01,20931586,Barbados,"All Countries, excluding the IO"
2020-11-01,22780196,Barbados,"All Countries, excluding the IO"
2020-12-01,20354510,Barbados,"All Countries, excluding the IO"
2021-01-01,17162509,Barbados,"All Countries, excluding the IO"
2021-02-01,21289330,Barbados,"All Countries, excluding the IO"
2021-03-01,31158200,Barbados,"All Countries, excluding the IO"
2021-04-01,23129407,Barbados,"All Countries, excluding the IO"
2021-05-01,23514015,Barbados,"All Countries, excluding the IO"
2021-06-01,23492008,Barbados,"All Countries, excluding the IO"
2021-07-01,21190203,Barbados,"All Countries, excluding the IO"
2021-08-01,20481177,Barbados,"All Countries, excluding the IO"
2021-09-01,23052100,Barbados,"All Countries, excluding the IO"
2021-10-01,23524730,Barbados,"All Countries, excluding the IO"
2021-11-01,24088829,Barbados,"All Countries, excluding the IO"
2021-12-01,23445135,Barbados,"All Countries, excluding the IO"
2022-01-01,19848928,Barbados,"All Countries, excluding the IO"
2022-02-01,20562565,Barbados,"All Countries, excluding the IO"
2022-03-01,31652390,Barbados,"All Countries, excluding the IO"
2022-04-01,24865564,Barbados,"All Countries, excluding the IO"
2022-05-01,29095471,Barbados,"All Countries, excluding the IO"
2022-06-01,24319128,Barbados,"All Countries, excluding the IO"
2022-07-01,27877624,Barbados,"All Countries, excluding the IO"
2022-08-01,38748315,Barbados,"All Countries, excluding the IO"
2022-09-01,31055055,Barbados,"All Countries, excluding the IO"
2022-10-01,22785043,Barbados,"All Countries, excluding the IO"
2022-11-01,24453612,Barbados,"All Countries, excluding the IO"
2022-12-01,24803506,Barbados,"All Countries, excluding the IO"
2023-01-01,27401684,Barbados,"All Countries, excluding the IO"
2023-02-01,24426410,Barbados,"All Countries, excluding the IO"
2023-03-01,33140880.000000004,Barbados,"All Countries, excluding the IO"
2023-04-01,31393383,Barbados,"All Countries, excluding the IO"
