,Date,Close,Low,High
74,2023-08-05,"2,033,048.1","1,996,920","2,033,040"
75,2023-08-01,"1,993,659.2","1,974,590","1,993,670"
76,2023-07-31,"1,973,910.2","1,968,600","1,973,910"
77,2023-07-30,"1,967,667.5","1,967,660","1,995,620"
78,2023-07-29,"1,996,755.9","1,996,750","2,002,840"
79,2023-07-26,"2,000,525.2","1,997,250","2,001,680"
80,2023-07-25,"2,001,897.1","2,000,510","2,010,900"
81,2023-07-24,"1,998,459.3","1,979,910","1,998,450"
82,2023-07-23,"1,976,944.9","1,976,940","1,983,190"
83,2023-07-22,"1,983,133.6","1,983,100","2,012,770"
84,2023-07-19,"2,016,385.6","2,002,690","2,027,390"
85,2023-07-18,"1,999,719.9","1,959,190","1,999,760"
86,2023-07-17,"1,956,634","1,955,600","2,018,370"
87,2023-07-16,"2,021,297.6","2,021,260","2,070,230"
88,2023-07-15,"2,070,890.3","2,070,880","2,081,630"
89,2023-07-12,"2,071,404.3","2,071,400","2,126,100"
90,2023-07-11,"2,128,378.4","2,128,370","2,158,180"
91,2023-07-10,"2,158,533.9","2,158,520","2,175,480"
92,2023-07-09,"2,176,359","2,176,350","2,194,010"
93,2023-07-08,"2,195,133","2,195,130","2,204,320"
94,2023-07-05,"2,202,657","2,202,220","2,205,690"
95,2023-07-04,"2,202,092.5","2,185,360","2,203,910"
96,2023-07-03,"2,183,405.5","2,158,990","2,183,420"
97,2023-07-02,"2,157,377.1","2,144,380","2,157,730"
98,2023-07-01,"2,143,914.9","2,143,910","2,153,670"
99,2023-06-28,"2,153,410.6","2,152,380","2,162,460"
100,2023-06-27,"2,168,205.3","2,168,190","2,195,500"
101,2023-06-26,"2,196,127.8","2,188,210","2,196,700"
102,2023-06-25,"2,189,601.7","2,169,530","2,190,390"
103,2023-06-24,"2,162,616.3","2,162,570","2,174,000"
104,2023-06-21,"2,173,893.4","2,168,560","2,177,070"
105,2023-06-20,"2,166,947.4","2,161,110","2,166,940"
106,2023-06-19,"2,164,226.3","2,162,310","2,168,390"
107,2023-06-18,"2,162,916.9","2,162,710","2,181,820"
108,2023-06-17,"2,182,812.2","2,182,800","2,189,700"
